ArraySize,TimeSeconds
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0.016
1200,0
1300,0
1400,0.015
1500,0
1600,0.016
1700,0
1800,0.016
1900,0
2000,0.015
2100,0
2200,0.016
2300,0.016
2400,0
2500,0
2600,0.016
2700,0.015
2800,0.016
2900,0.016
3000,0.015
3100,0.031
3200,0.016
3300,0.015
3400,0.031
3500,0.016
3600,0.016
3700,0.031
3800,0.031
3900,0.016
4000,0.031
