Size, QuickSort, MergeSort, HeapSort, ShellSort
100, 8, 30, 11, 7
1000, 92, 332, 168, 127
5000, 597, 1910, 1119, 853
10000, 1112, 3471, 2096, 1889
50000, 6377, 19446, 14337, 12981
100000, 15488, 41774, 28712, 26958
